namespace,key,ru,en
auth,brand.subtitle,Умный помощник для выбора блюд,AI-powered meal assistant
auth,tab.phone,Телефон,Phone
auth,verifyEmail.title,Подтверди email,Confirm your email
auth,verifyEmail.descPart1,Код отправлен на,Code sent to
auth,verifyEmail.descPart2,Если не нашли — проверь папку «Спам».,Check your Spam folder if you don't see it.
auth,verifyEmail.codeLabel,Код из письма,Code from email
auth,verifyEmail.confirm,Подтвердить,Confirm
auth,phoneEnter.title,Вход по телефону,Sign in with phone
auth,phoneEnter.phoneLabel,Номер телефона,Phone number
auth,phoneEnter.phonePlaceholder,+7 999 000-00-00,+1 555 000-0000
auth,phoneEnter.sendCode,Получить код,Send code
auth,phoneCode.title,Введи код,Enter code
auth,phoneCode.descPart1,Код отправлен на,Code sent to
auth,phoneCode.smsLabel,Код из SMS,Code from SMS
auth,phoneCode.nameLabel,Имя (опционально),Name (optional)
auth,phoneCode.namePlaceholder,Как тебя зовут?,What's your name?
auth,phoneCode.login,Войти,Sign in
auth,phoneCode.changePhone,Изменить номер,Change number
auth,login.title,Войти,Sign in
auth,login.submit,Войти,Sign in
auth,login.noAccount,Нет аккаунта?,No account?
auth,login.switchToRegister,Зарегистрироваться,Register
auth,register.title,Создать аккаунт,Create account
auth,register.submit,Зарегистрироваться,Register
auth,register.hasAccount,Уже есть аккаунт?,Already have an account?
auth,register.switchToLogin,Войти,Sign in
auth,fields.name,Имя,Name
auth,fields.email,Email,Email
auth,fields.password,Пароль,Password
auth,fields.namePlaceholder,Как тебя зовут?,What's your name?
auth,resend.notReceived,Не получили?,Didn't receive it?
auth,resend.countdown,Повторно через {{n}} с,Resend in {{n}} s
auth,resend.label,Отправить повторно,Resend
auth,telegram.noToken,Токен не передан. Вернитесь в Telegram и запросите новую ссылку.,No token provided. Return to Telegram and request a new link.
auth,telegram.errorTitle,Ошибка входа,Login error
auth,telegram.errorDefault,Ссылка недействительна или истекла. Запросите новую в боте.,Link is invalid or expired. Request a new one in the bot.
auth,telegram.openBot,Открыть бота в Telegram,Open bot in Telegram
auth,telegram.loading,Вход через Telegram...,Signing in via Telegram...
auth,telegram.loadingDesc,"Подождите, выполняется авторизация","Please wait, authorizing..."
auth,divider,или,or
auth,googleError,Ошибка Google авторизации,Google authentication error
auth,skip,Продолжить без регистрации →,Continue without signing in →
