id,nameRu,nameEn
cmo6sl2vy003redlxqyxsee54,Абрикос,Apricot
cmn7kdgdr002e4kvmbnbrf455,Авокадо,Avocado
cmo6sl493007pedlxqfp9okh6,Агар-агар,Agar-agar
cmo6sl3mp005vedlxgte4juks,Аджика,Adjika
cmo6sl1q2000hedlxnjcediri,Адыгейский сыр,Adygei cheese
cmn7kdeuf002b4kvmb7ffjnqc,Ананас,Pineapple
cmo6sl4cf007zedlxqqi2gwkt,Ананасы консервированные,Canned pineapple
cmo6sl28b001xedlx4t16u6di,Анчоусы,Anchovies
cmn7kda7100224kvmbda9rzjk,Апельсин,Orange
cmn7kejx2004i4kvmzs8sbmk6,Арахис,Peanuts
cmn7kdgwi002f4kvm8w4rg90v,Арбуз,Watermelon
cmn7kd7kg001x4kvm8k9rsmvb,Артишок,Artichoke
cmo6sl4ef0085edlxlsl4lem1,Артишоки консервированные,Canned artichokes
cmn7kdwk200394kvmzska4nbd,Багет,Baguette
cmn7kefnx004a4kvm0sf8qgz3,Базилик,Basil
cmn7kczpt001i4kvmkjdfukdv,Баклажан,Eggplant
cmo6sl3ne005xedlxkuby1egm,Бальзамический соус,Balsamic sauce
cmn7kd9o800214kvm52zp5u1u,Банан,Banana
cmn7kckma000p4kvm0px2pz78,Баранина,Lamb
cmn7kd728001w4kvm1hpxljk1,Батат,Sweet potato
cmn7kcl4e000q4kvm64r31msw,Бекон,Bacon
cmn7kdraj002z4kvmvvkzu2nh,Белая фасоль,White beans
cmn7kcxor001e4kvm9mh0t4vm,Белокочанная капуста,White cabbage
cmo6sl2l5002xedlxe49setwo,Белый лук,White onion
cmo6sl3u1006gedlxevf40znf,Белый перец,White pepper
cmn7kdtvb00344kvmm3a7v3n6,Белый хлеб,White bread
cmo6sl47e007kedlxnqt5o9cs,Белый шоколад,White chocolate
cmn7kcx5z001d4kvme07qt31o,Болгарский перец,Bell pepper
cmo6sl1rf000ledlxe7dc8cyn,Бри,Brie
cmn7kcy73001f4kvmyz0kwzws,Брокколи,Broccoli
cmo6sl1pq000gedlx7zfsxorz,Брынза,Bryndza
cmo6sl2lh002yedlxiygxplc1,Брюссельская капуста,Brussels sprouts
cmn7kdo8d002t4kvm4ug8v0ib,Булгур,Bulgur
cmn7kedms00464kvmdezam366,Ванилин,Vanilla
cmn7kerkg004x4kvmcrzdlu65,Ванильный сахар,Vanilla sugar
cmo6sl4h2008dedlxrzqle8tp,Вареники,Varenyky
cmn7kes3a004y4kvm8gt5hyep,Варенье,Jam
cmn7kcm5b000s4kvmzmcss8ca,Ветчина,Ham
cmn7kdcrb00274kvm4j4y6ygj,Виноград,Grapes
cmn7kdfux002d4kvmwrds092s,Вишня,Cherries
cmo6sl4er0086edlxnwg766k4,Вода,Water
cmn7ke4af003o4kvm3asdggx2,Вустерский соус,Worcestershire sauce
cmn7keclg00444kvmpbo09fhl,Гвоздика,Cloves
cmn7kcj44000m4kvmu5i26zw0,Говядина,Beef
cmn7kcheg000j4kvm77npe0ak,Говяжий фарш,Ground beef
cmo6sl210001cedlxaqs9ca22,Говяжья печень,Beef liver
cmo6sl2v8003pedlxvefgcuuy,Голубика,Bilberry
cmo6sl26w001tedlxk7r6moj1,Горбуша,Pink salmon
cmn7kdsb900314kvmmpvtl3fo,Горох колотый,Split peas
cmn7keu4h00524kvmx9982phn,Горошек консервированный,Canned peas
cmn7ke2qg003l4kvmb34wtces,Горчица,Mustard
cmn7kdhf0002g4kvmpqef9ynq,Гранат,Pomegranate
cmo6sl2wp003tedlxgh6sksse,Грейпфрут,Grapefruit
cmn7keiuy004g4kvmyhwb8vi2,Грецкий орех,Walnut
cmn7kdj1u002j4kvm7h85d11f,Гречка,Buckwheat
cmn7kew8j00564kvmw4di4ckr,Грибы консервированные,Canned mushrooms
cmn7kdd9l00284kvmmub8wynw,Груша,Pear
cmo6sl2np0034edlxzvag0wz8,Дайкон,Daikon
cmn7kdxl5003b4kvmaq6sp8qn,Дрожжевое тесто,Yeast dough
cmo6sl49e007qedlxh028a95v,Дрожжи,Dry yeast
cmo6sl2uu003oedlxlttszhkr,Ежевика,Blackberry
cmo6sl48r007oedlxnip0rs1k,Желатин,Gelatin
cmo6sl4hp008fedlxwb0jh5px,Замороженная брокколи,Frozen broccoli
cmo6sl4id008hedlxmdm8rp3p,Замороженные морепродукты,Frozen seafood
cmo6sl4he008eedlx1ratejb1,Замороженные овощи,Frozen vegetables
cmo6sl4i1008gedlx0658a2rw,Замороженные ягоды,Frozen berries
cmn7kd2tl001o4kvmo90ow7gw,Зелёный горошек,Green peas
cmn7kd5ew001t4kvmf9pqkiq9,Зелёный лук,Green onion
cmo6sl4g3008aedlx09lp3dy0,Зелёный чай,Green tea
cmn7ke7yg003v4kvmqdk4496t,Зира,Cumin
cmn7kei8f004f4kvm3uczeo90,Имбирь свежий,Fresh ginger
